name;id;family;x;y;Rec.P;RecRef.I;RecRef.D;ContQInitial;ContQNonInitial;NumNoun;NounNum;DegWAdj;AdjDegW;GenN;NGen;AdjN;NAdj;PossAff.P;PossPre;PossSuff;ComInst;NPconj;NVconj;DefArt;IndefArt;PronomS;IndefPron;PronDem;DemDis;PronAdnDem;IntRef;GenPron;Gender;Gender.n;NegMorph;NPlural;OrdNum;DistNum;AdpN;DemN;NegV;OXV;RelN;Passive;Optative;Prohibitive;Imperative;AdpPM;PolarQ;PossClass;PossLocus;Reduplication;Future;Past;Aspect;Vper;SOV;Agr.Number;Agr.Gender;Agr.Case;Agr.State;Agr.none;Agr.Role;NPHeadlessness;ClausePosition;NumClass.n;Alignment
Old.Albanian;OldAlbanian;IE;20,00;41,00;Y;N;N;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Subject affixes on verb;Interrogativebased;Related to remote demonstratives;Twoway contrast;Identical;Identical;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First twoth threeth;NA;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative present;Normal imperative  special negative;Second singular;No person marking;Initial;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;A or P argument;SVO;Y;Y;Y;N;N;N;NA;flexibleadjacent;0;SvAtrxP
Classical.Armenian;ClassicalArmenian;IE;41,00;38,00;Y;N;Y;N;Y;Y;Y;Y;N;Y;Y;Y;N;Y;NA;NA;Mixed;And different from with;Identity;Demonstrative word used as definite article;No indefinite but definite article;Subject affixes on verb;Interrogativebased;Related for all demonstratives;Threeway contrast;Different inflection;Differentiated;No gender distinctions;No gender;None;Variation between negative word and affix;Plural suffix;First twoth threeth;Marked by mixed or other strategies;Prepositions;Mixed;VNeg;No dominant order;NounRelative clause;Present;Inflectional optative absent;Special imperative  special negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;Productive full and partial reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;N;N;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Middle.Breton;MiddleBreton;IE;-3,00;48,00;Y;Y;N;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Mixed;Mixed indefinites;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;No distributive numerals;Prepositions;NounDemonstrative;NegV;OVX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  special negative;Second singular;Pronouns only;Other position;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;No dominant order;N;N;N;N;Y;N;OK;flexibleadjacent;0;SvAtrvP
Middle.Cornish;MiddleCornish;IE;-5,00;50,33;NA;NA;NA;Y;N;Y;N;Y;N;N;Y;N;Y;N;Y;N;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;Twoway contrast;Different stem;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Mixed morphological plural;First second threeth;No distributive numerals;Prepositions;NounDemonstrative;NegV;NA;NounRelative clause;Present;Inflectional optative absent;Normal imperative  special negative;Second singular;Pronouns only;Other position;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;No dominant order;N;Y;N;N;N;N;OK;flexiblerelational;0;SvAtrxP
Old.Czech;OldCzech;IE;15,00;50,00;Y;N;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Differentiation;And different from with;Identity;No definite or indefinite article;No definite or indefinite article;Subject affixes on verb;Interrogativebased;Related for all demonstratives;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Other position;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;Y;N;N;N;NA;flexiblerelational;0;SvAtrxP
Middle.Dutch;MiddleDutch;IE;6,00;52,50;NA;NA;NA;Y;N;Y;N;Y;N;Y;Y;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Genericnounbased;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Double negation;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Head marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Middle.English;MiddleEnglish;IE;-1,00;52,00;Y;Y;N;Y;N;Y;N;NA;NA;Y;N;Y;N;Y;NA;NA;Differentiation;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;Twoway contrast;NA;Differentiated;3rd person only but also nonsingular;Semantic;Two;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;VNeg;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SOV;Y;N;N;N;N;N;NA;NA;0;SvAtrxP
Old.English;OldEnglish;IE;-1,00;52,00;Y;N;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Demonstrative word used as definite article;No definite or indefinite article;Obligatory pronouns in subject position;Interrogativebased;Unrelated;Twoway contrast;Identical;Identical;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by suffix;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Middle.French;MiddleFrench;IE;2,00;48,00;NA;NA;NA;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;No distance contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;NA;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Old.French;OldFrench;IE;2,00;48,00;Y;Y;N;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Subject affixes on verb;Mixed indefinites;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;Marked by following word;Prepositions;DemonstrativeNoun;NegV;VXO;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;fixedpostmain;0;SvAtrxP
