name;id;family;x;y;Rec.P;RecRef.I;RecRef.D;ContQInitial;ContQNonInitial;NumNoun;NounNum;DegWAdj;AdjDegW;GenN;NGen;AdjN;NAdj;PossAff.P;PossPre;PossSuff;ComInst;NPconj;NVconj;DefArt;IndefArt;PronomS;IndefPron;PronDem;DemDis;PronAdnDem;IntRef;GenPron;Gender;Gender.n;NegMorph;NPlural;OrdNum;DistNum;AdpN;DemN;NegV;OXV;RelN;Passive;Optative;Prohibitive;Imperative;AdpPM;PolarQ;PossClass;PossLocus;Reduplication;Future;Past;Aspect;Vper;SOV;Agr.Number;Agr.Gender;Agr.Case;Agr.State;Agr.none;Agr.Role;NPHeadlessness;ClausePosition;NumClass.n;Alignment
Arvanitika.Albanian;ArvanitikaAlbanian;Albanian;23,30000000;38,20000000;Y;N;N;Y;N;Y;N;Y;N;N;Y;N;Y;N;Y;N;Identity;And different from with;Identity;No definite but indefinite article;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Related to remote demonstratives;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First twoth threeth;Marked by reduplication;Prepositions;DemonstrativeNoun;NegV;NA;NounRelative clause;Present;Inflectional optative absent;Normal imperative  special negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;Y;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Modern.Eastern.Armenian;ModernEasternArmenian;Armenian;44,00000000;40,00000000;Y;N;Y;N;Y;Y;N;Y;N;Y;N;Y;N;N;N;Y;Mixed;And different from with;Identity;Definite affix;Indefinite word distinct from one;Subject affixes on verb;Mixed indefinites;Related to remote demonstratives;Threeway contrast;Different inflection;Differentiated;No gender distinctions;No gender;None;Negative affix;Plural suffix;First twoth threeth;Marked by suffix;Postpositions;DemonstrativeNoun;NegV;No dominant order;NounRelative clause;Present;Inflectional optative absent;Normal imperative  special negative;Second singular and second plural;No person marking;No question particle;No possessive classification;Dependent marking;Productive full and partial reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;N;N;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Modern.Breton;ModernBreton;Celtic;-3,00000000;48,00000000;Y;N;N;Y;N;Y;N;Y;N;N;Y;N;Y;N;Y;N;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word distinct from one;Mixed;Mixed indefinites;Unrelated;Threeway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Double negation;Plural suffix;First second threeth;Marked by reduplication;Prepositions;NounDemonstrative;OptDoubleNeg;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;Pronouns only;Initial;No possessive classification;No marking;Full reduplication only;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;NA
Modern.Bulgarian;ModernBulgarian;Slavic;25,00000000;42,50000000;Y;N;N;Y;N;Y;N;Y;N;Y;Y;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite affix;No indefinite but definite article;Optional pronouns in subject position;Interrogativebased;Related to nonremote demonstratives;Twoway contrast;Identical;Identical;3rd person only but also nonsingular;Semantic and formal;Three;Negative particle;Plural suffix;First second threeth;Marked by following word;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Other position;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;NA;0;SvAtrxP
Czech;Czech;Slavic;15,00000000;50,00000000;Y;Y;N;Y;N;Y;N;Y;N;N;Y;Y;N;Y;NA;NA;Differentiation;And different from with;Identity;No definite or indefinite article;No definite or indefinite article;Optional pronouns in subject position;Interrogativebased;Related to remote demonstratives;Twoway contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Three;Negative affix;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;NegV;NA;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular and second plural;No person marking;Initial;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;No past tense;Grammatical marking;Only the A argument;No dominant order;Y;Y;Y;N;N;N;NA;NA;0;SvAtrxP
Danish;Danish;North Germanic;10,00000000;56,00000000;Y;N;Y;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;Marked by mixed or other strategies;Prepositions;DemonstrativeNoun;VNeg;VOX;NounRelative clause;Present;Inflectional optative absent;Special imperative  special negative;No secondperson imperatives;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;No person marking;SVO;Y;Y;N;N;N;N;OK;NA;0;SvAtrxP
Dutch;Dutch;West Germanic;6,00000000;52,50000000;Y;N;Y;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;Twoway contrast;Identical;Differentiated;3rd person only but also nonsingular;Semantic;Two;Negative particle;Plural suffix;First twoth threeth;Marked by preceding word;Prepositions;DemonstrativeNoun;VNeg;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;NA;0;SvAtrxP
English;English;West Germanic;0,00000000;52,00000000;Y;N;Y;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word distinct from one;Obligatory pronouns in subject position;Mixed indefinites;Unrelated;Twoway contrast;Identical;Identical;3rd person only but also nonsingular;Semantic;Three;Negative particle;Plural suffix;First second threeth;Marked by following word;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Special imperative  special negative;No secondperson imperatives;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;No grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
French;French;Italic;2,00000000;48,00000000;Y;Y;N;Y;N;Y;N;Y;N;N;Y;N;Y;Y;NA;NA;Identity;And different from with;Identity;Definite word distinct from demonstrative;Indefinite word same as one;Obligatory pronouns in subject position;Mixed indefinites;Related to nonremote demonstratives;Twoway contrast;Different stem;Differentiated;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First twoth threeth;No distributive numerals;Prepositions;DemonstrativeNoun;NegV;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second singular;No person marking;No question particle;No possessive classification;Dependent marking;No productive reduplication;Inflectional future exists;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
Northern.Frisian;NorthernFrisian;West Germanic;9,00000000;54,50000000;Y;N;N;Y;N;Y;N;Y;N;Y;N;Y;N;Y;NA;NA;Identity;And different from with;Identity;No definite but indefinite article;Indefinite word same as one;Obligatory pronouns in subject position;Interrogativebased;Unrelated;No distance contrast;Identical;NA;3rd person only but also nonsingular;Semantic and formal;Two;Negative particle;Plural suffix;First second threeth;NA;Prepositions;DemonstrativeNoun;VNeg;VOX;NounRelative clause;Present;Inflectional optative absent;Normal imperative  normal negative;Second person numberneutral;No person marking;No question particle;No possessive classification;Head marking;No productive reduplication;No inflectional future;Present no remoteness distinctions;Grammatical marking;Only the A argument;SVO;Y;Y;N;N;N;N;OK;flexibleadjacent;0;SvAtrxP
