ancient,modern,ancient_lon,ancient_lat,modern_lon,modern_lat
OldAlbanian,ArvanitikaAlbanian,20.0,41.0,23.0,38.0
ClassicalArmenian,ModernEasternArmenian,41.0,38.0,45.0,40.0
MiddleBreton,ModernBreton,-3.0,48.0,-3.0,48.0
OldCzech,Czech,15.0,50.0,15.0,50.0
MiddleDutch,Dutch,6.0,52.5,6.0,52.5
OldEnglish,English,-1.0,52.0,0.0,52.0
OldFrench,French,2.0,48.0,2.0,48.0
OldFrisian,NorthernFrisian,7.5,53.58,9.0,54.5
MiddleGreek,ModernGreek,29.0,41.0,23.7,39.0
MiddleGreek,CappadocianGreek,29.0,41.0,35.4,38.7
MiddleHighGerman,HighAllemanic,10.6,48.25,8.46,47.05
OldIcelandic,Icelandic,-17.0,65.0,-17.0,65.0
MiddleIrish,ModernIrish,-8.0,53.0,-8.0,53.0
OldLithuanian,Lithuanian,24.0,55.0,24.0,55.0
OldNorwegian,Norwegian,6.06,62.09,6.06,62.09
MiddlePersian,Farsi,54.0,32.0,52.0,34.0
OldPolish,Polish,20.0,52.0,20.0,52.0
OldPortuguese,Portuguese,-8.0,39.0,-8.0,39.0
OldRussian,ModernRussian,38.0,56.0,38.0,56.0
OldSardinian,ModernSardinianLogudorese,9.0,40.0,9.0,40.0
OldSicilian,ModernSicilian,13.22,38.07,13.22,38.07
OldChurchSlavic,ModernBulgarian,25.0,42.5,25.0,42.5
OldSpanish,Spanish,-4.0,40.0,-4.0,40.0
EarlyOldSwedish,Swedish,19.75,64.25,15.0,60.0
OldTuscan,Italian,12.6,43.5,12.0,43.0
MiddleWelsh,ModernWelsh,-3.0,52.0,-3.0,52.0
Arabic,EgyptianArabic,33.12,29.63,31.0,30.0
StandardBiblicalHebrew,ModernHebrew,35.17,31.78,34.83333333,31.5
