name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Old.Albanian,OldAlbanian,Albanian,24.94,37.84,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First twoth threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Normal imperative  special negative,Second singular,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,A or P argument,SVO,Y,Y,Y,N,N,N,flexibleadjacent,SvAtrxP
Classical.Armenian,ClassicalArmenian,Armenian,38.5,43.5,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,,,Mixed,And different from with,Identity,Demonstrative word used as definite article,No indefinite but definite article,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Different inflection,Differentiated,No gender distinctions,No gender,None,Variation between negative word and affix,Plural suffix,First twoth threeth,Marked by mixed or other strategies,Prepositions,Mixed,VNeg,No dominant order,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,N,N,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.Breton,MiddleBreton,Celtic,-3.0,48.0,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Mixed,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,OVX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,Pronouns only,Other position,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,N,N,N,N,Y,N,flexibleadjacent,SvAtrvP
Middle.Cornish,MiddleCornish,Celtic,-5.0,50.33,,,,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,Different stem,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Mixed morphological plural,First second threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,Pronouns only,Other position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,N,Y,N,N,N,N,flexiblerelational,SvAtrxP
Old.Czech,OldCzech,Slavic,15.0,50.0,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,Y,N,N,N,flexiblerelational,SvAtrxP
Middle.Dutch,MiddleDutch,West Germanic,6.0,52.5,,,,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Genericnounbased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Double negation,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Head marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.English,MiddleEnglish,West Germanic,-1.0,52.0,Y,Y,N,Y,N,Y,N,,,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,,Differentiated,3rd person only but also nonsingular,Semantic,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,VNeg,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SOV,Y,N,N,N,N,N,,SvAtrxP
Old.English,OldEnglish,West Germanic,-1.0,52.0,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.French,MiddleFrench,Italic,2.0,48.0,,,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,No distance contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.French,OldFrench,Italic,2.0,48.0,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Mixed indefinites,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by following word,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,fixedpostmain,SvAtrxP
