,Abkhaz,ArvanitikaAlbanian,Basque,CappadocianGreek,Czech,Danish,Dutch,EgyptianArabic,English,Farsi,Finnish,French,Georgian,HighAllemanic,Hungarian,Hunzib,Icelandic,Italian,Latvian,Lithuanian,ModernBreton,ModernBulgarian,ModernEasternArmenian,ModernGreek,ModernHebrew,ModernIrish,ModernRussian,ModernSardinianLogudorese,ModernSicilian,ModernWelsh,NorthernFrisian,Norwegian,Pashto,Polish,Portuguese,Spanish,Swedish,Turkish
Abkhaz,0.0,18.704017689894567,44.00007891406433,7.111512573418463,26.90427991647219,33.58333333461538,36.24463561927322,16.46734984822661,41.95839539953701,14.265586016139993,24.77580024749733,39.30869638062154,3.189609867035292,32.780879251034264,21.36212250231444,5.329425650626487,62.002744116078354,29.00011973154402,21.9698341187158,20.760706744325656,44.27384793694681,16.01063014918179,5.050440022798895,17.77536528693261,13.12255268051067,49.99340234314813,13.260478040549248,32.14820281794752,28.228742640749854,44.894397696192435,33.9755835542804,39.77507986044137,27.88679994269491,22.814621287759497,49.169844529791725,45.10550902521652,31.018923437538717,7.257658788058922
ArvanitikaAlbanian,18.704017689894567,0.0,26.476404589747453,12.41974234837422,14.422205101855956,22.20360331117452,22.34390297150433,11.313708498984761,26.92582403567252,29.274562336608895,24.08318915758459,23.259406699226016,21.37755832643195,17.126415269985717,9.486832980505138,23.620406667517155,48.25971404805462,12.083045973594572,19.026297590440446,17.029386365926403,27.85677655436824,4.924428900898052,22.090722034374522,1.2206555615733699,13.501028764464172,34.438350715445125,23.430749027719962,14.142135623730951,9.780250508039147,29.5296461204668,21.639085008382402,29.449816637799294,44.28317965096906,14.317821063276353,31.016124838541646,27.073972741361768,23.40939982143925,12.041594578792296
Basque,44.00007891406433,26.476404589747453,0.0,38.64000517598309,19.313207915827967,18.384776310850235,13.0862523283024,36.40054944640259,9.486832980505138,55.731499172371095,33.83784863137726,7.0710678118654755,47.01063709417264,12.154591724940826,23.345235059857504,49.25704969279919,26.076809620810597,15.0,30.4138126514911,29.546573405388315,5.0,28.00446392988089,48.093658625644196,26.997962886114202,39.54252281859225,11.180339887498949,43.01162633521314,12.36931687685298,16.952678254482386,9.0,16.62077013859466,21.130823457688535,70.71067811865476,24.698178070456937,6.4031242374328485,3.1622776601683795,24.758836806279895,38.2099463490856
CappadocianGreek,7.111512573418463,12.41974234837422,38.64000517598309,0.0,23.320591759215713,30.73190524520079,32.47768464653846,9.749358953285084,37.81600190395595,17.252536045463,25.515681452785067,34.67059272640143,9.211405973031479,28.20436313764237,17.494284781036345,11.39035898472427,58.62977059480959,23.791805311913595,21.560380330597138,19.890952717253136,39.510125284539406,11.072488428533125,9.687620966986684,11.703845521878694,7.222264957400062,45.695185742045076,17.494284781036345,26.43198819612327,22.18894544587462,40.638036369883814,30.76686529368892,37.52236266548257,32.109967299889924,20.348218595248085,43.40103685397389,39.4214408666147,29.49321955975644,0.49999999999999717
Czech,26.90427991647219,14.422205101855956,19.313207915827967,23.320591759215713,0.0,7.810249675906654,9.340770846134703,25.612496949731394,15.132745950421556,40.311288741492746,15.620499351813308,13.152946437965905,30.083217912982647,7.174545281758281,5.830951894845301,32.216821864654634,35.34119409414458,7.615773105863909,11.40175425099138,10.295630140987,18.110770276274835,12.5,31.622776601683793,14.024621207005913,27.122151665730524,23.194827009486403,23.769728648009426,11.661903789690601,12.062060354682362,18.110770276274835,7.5,15.036345965692599,54.70831746635972,5.385164807134504,25.495097567963924,21.470910553583888,10.0,22.825424421026653
Danish,33.58333333461538,22.20360331117452,18.384776310850235,30.73190524520079,7.810249675906654,0.0,5.315072906367325,33.421549934136806,10.770329614269007,47.41307836451879,16.15549442140351,11.313708498984761,36.76955262170047,9.08152520229945,13.45362404707371,38.799788801215,28.460498941515414,13.152946437965905,14.035668847618199,14.035668847618199,15.264337522473747,20.180436070610565,38.48376280978771,21.83323155192561,34.88473081849549,18.24828759089466,28.0,16.0312195418814,18.21684110925931,13.601470508735444,1.8027756377319946,7.253392309809255,61.465437442517235,10.770329614269007,24.758836806279895,21.2602916254693,6.4031242374328485,30.23243291566195
Dutch,36.24463561927322,22.34390297150433,13.0862523283024,32.47768464653846,9.340770846134703,5.315072906367325,0.0,33.63406011768428,6.020797289396148,49.580742229216376,21.242645786248,6.020797289396148,39.423977475642914,5.979473220945139,15.041608956491324,41.55526774921429,26.177280225416848,11.236102527122116,18.553975315279473,18.172781845386247,10.062305898749054,21.470910553583888,40.95424275945045,22.260727750906977,35.67017116469851,14.0089257261219,32.190837205639745,12.854960132182441,16.135467145391235,9.013878188659973,3.605551275463989,9.590187693679413,64.04100249059192,14.0089257261219,19.448650338776723,16.00781059358212,11.715374513859981,31.988279103446626
EgyptianArabic,16.46734984822661,11.313708498984761,36.40054944640259,9.749358953285084,25.612496949731394,33.421549934136806,33.63406011768428,0.0,38.01315561749642,21.37755832643195,32.55764119219941,34.132096331752024,17.69180601295413,28.262238057167373,20.248456731316587,19.50872312220584,59.405386961116584,23.021728866442675,27.892651361962706,25.96150997149434,38.47076812334269,13.865424623862047,17.204650534085253,11.58835622510803,4.116363008638682,45.27692569068709,26.92582403567252,24.166091947189145,19.525708693924532,40.496913462633174,32.92795165205391,40.641994291619106,36.124783736376884,24.596747752497688,40.024992192379,36.40054944640259,34.0,9.848857801796104
English,41.95839539953701,26.92582403567252,9.486832980505138,37.81600190395595,15.132745950421556,10.770329614269007,6.020797289396148,38.01315561749642,0.0,55.02726596879042,26.92582403567252,4.47213595499958,45.12205669071391,9.801739641512626,20.615528128088304,47.28379156094495,21.400934559032695,15.0,24.515301344262525,24.186773244895647,5.0,26.744158240632665,46.57252408878007,27.031278179176063,40.41795530304433,8.06225774829855,38.2099463490856,15.0,19.204512490558045,3.0,9.340770846134703,11.769949022829286,69.6419413859206,20.0,15.264337522473747,12.649110640673518,17.0,37.33630940518894
Farsi,14.265586016139993,29.274562336608895,55.731499172371095,17.252536045463,40.311288741492746,47.41307836451879,49.580742229216376,21.37755832643195,55.02726596879042,0.0,38.897300677553446,51.92301994298868,11.313708498984761,45.45364781840947,34.539832078341085,9.987839831459496,75.64390259630977,41.0,36.235341863986875,35.0,56.753854494650845,28.30635970943632,9.219544457292887,28.738301967931232,17.347750417817544,62.93647591023825,26.076809620810597,43.41658669218482,38.99299039571087,57.87054518492115,47.6366455578056,53.84729983945342,15.033296378372908,36.71511950137164,60.207972893961475,56.32051136131489,45.221676218380054,17.72004514666935
