,ancient,ArvanitikaAlbanian,ModernEasternArmenian,ModernBreton,ModernBulgarian,Czech,Dutch,English,French,NorthernFrisian,CappadocianGreek,ModernGreek,HighAllemanic,Icelandic,ModernIrish,Italian,Lithuanian,Norwegian,Farsi,Polish,Portuguese,ModernRussian,ModernSardinianLogudorese,ModernSicilian,Spanish,Swedish,ModernWelsh,ModernHebrew,EgyptianArabic
0,OldAlbanian,454.90313328416437,2774.1137221859626,2656.675281151161,574.7777217849178,1104.014782108412,1986.528225838712,2516.5110244928774,2131.8575294934576,1894.917668536924,1721.4507657058418,458.8786793118327,1433.5013025300168,4861.432554036209,3364.5601055492616,910.7449699159229,1511.0962884642875,2752.9978386643043,3602.823700928655,1150.910480691305,3104.761444755996,2465.752141517687,1221.8627626600414,812.7569547030782,2656.923322279191,2090.6793110032013,2813.931465141402,1890.7718036139265,1643.4799314846332
1,ClassicalArmenian,1996.0357126002273,473.3086400020657,4977.183419313662,1822.945036886622,3106.6003900079204,4137.025901815067,4755.6945778312775,4434.972808034345,3901.2132189207678,624.6125964606797,1920.7805499123344,3714.4289512463706,7000.374707873551,5638.684644469574,3250.4719457420606,2461.5882064130324,4551.736555665811,1260.2251382264174,2680.0974280217047,5426.192892428001,1580.6045943666945,3550.817520275504,3078.5311191861965,4987.038683335856,3580.9376612965125,5075.769004362403,891.1524833741327,1322.03736255766
2,MiddleBreton,3074.46342516127,5375.759974778582,0.0,3154.285518919186,2002.8887214456604,1113.8531808785906,555.0985896908944,552.8753232684229,1510.32751704906,4360.071400317885,3110.789908070625,1271.6326337739524,2419.1907484265275,782.6236730948438,1748.6493307279823,3081.7877828726923,1859.2938212918348,6236.987513660611,2581.394705909152,1140.025316160474,4613.642101826619,1596.5259323367343,2102.7689319548185,895.7435050053125,2390.1913624838207,444.6715545607282,4529.360526516018,4219.585618646642
3,MiddleCornish,3375.2983767555697,5632.875356143651,340.37416319672474,3425.4740722166503,2212.1746422471824,1240.0365727411388,583.2283055691943,816.2573495697142,1615.8212499730364,4634.517229352832,3405.016475994492,1532.3043280237166,2078.823646987502,444.14524244026865,2047.6157817620808,3247.958026007695,1789.987024645924,6503.710307691111,2771.2860129019873,1296.1993211707252,4796.418089130224,1926.3690330528773,2428.4235746640807,1151.705807241626,2455.705239861016,288.6193159085308,4830.956359015313,4532.713840432172
4,OldCzech,1541.5917551731586,3456.7593585974632,2002.8887214456604,1356.208187459046,0.0,1032.3684411838685,1673.5244447899522,1454.5292902236267,824.8982532948853,2526.0400806795947,1503.1121600527133,791.6343527937256,3904.0306261800224,2565.097024176895,827.2223212952425,1125.7442614320855,1650.7529276402718,4343.908309687758,592.7069611099254,2818.466163218413,2616.134082910943,1274.8224608558849,1302.998896845936,2373.136770236951,1075.4131846984899,2002.8887214456604,2873.432358181185,2701.006124392352
5,MiddleDutch,2441.1463148276093,4488.71433388014,1113.8531808785906,2357.7362060493124,1032.3684411838685,0.0,665.7921082252558,667.2856926198118,398.49169648812284,3549.434282527608,2434.3667778010195,660.4809710467861,2891.867395027181,1549.116661148802,1237.112170354978,2009.7048302604412,1061.6933572576256,5376.276345696832,1549.8403306668035,2154.820323741718,3561.690611664207,1418.7942937590112,1772.7525698220338,1775.8128378085844,1289.7898024041306,996.74685357746,3852.9334762985104,3629.9908693768966
6,OldEnglish,3058.112165977661,5231.921448068536,496.9108755265922,3053.5805402866167,1783.2170692352659,776.0366968584487,110.57438855779878,555.2055116603307,1140.0555223079498,4260.319689202558,3073.3777030344936,1181.5217451347414,2271.748150770869,781.9823816291276,1748.4491609092122,2784.8179243831078,1366.392330243672,6112.578777533083,2322.940642729432,1636.4485808455447,4337.6082542695,1730.3447431155898,2199.542558566155,1375.029133747836,1976.7246430360415,221.15148133848913,4505.405832953913,4237.690372651589
7,OldFrench,2562.0978014793136,4828.148113836521,552.8753232684229,2612.56566757209,1454.5292902236267,667.2856926198118,497.0910595647182,0.0,1057.049199432155,3820.8601828006317,2589.502014411821,722.0899330167116,2811.13616463925,1237.3226803248056,1235.9262319835702,2548.226848460647,1627.4402399680466,5693.730228699269,2038.2091525895942,1490.391307243807,4069.2848075202364,1176.466687693977,1654.2016597387394,1110.089938906431,1950.6421868098812,709.7912027438016,4017.194396787709,3727.382736945316
8,OldFrisian,2391.8501121303684,4357.974345640859,1316.1621037442922,2267.0927281988957,916.9868653979294,204.38327182793472,847.696037460417,867.6564297511263,194.40900340159078,3442.897589545306,2374.3792905173104,727.6942985868993,2987.044605536656,1715.2144225878221,1262.723524466727,1832.2104724065462,954.0942825898283,5249.146767667774,1393.4791355931147,2357.12180701194,3386.943078478399,1505.2297562994058,1811.7254941327344,1972.9760092388574,1085.7872112347293,1174.2697024100842,3776.8990091237247,3575.7625810090713
9,MiddleGreek,729.3388257929623,1777.8652676266577,3619.0922784690983,467.53540473456604,1805.6630026196244,2818.8861926740224,3415.9886748257163,3078.9667181177206,2625.546805941999,742.02134142412,620.1757765430225,2360.3147013577104,5706.775076735004,4291.739540932572,1893.5918861418993,1500.222462374895,3371.868236259276,2619.151325793159,1493.9928817587925,4099.545767102507,1710.7250627529556,2216.4868345284226,1773.2993649661719,3653.1395961646676,2493.818672823925,3730.862168476902,1106.1916228751597,1083.7522464487913
10,MiddleHighGerman,1752.3991751527797,3893.6486576453085,1504.201710480023,1705.6885696466993,522.5161270548887,691.3016140849635,1243.5369064602155,951.4726950458274,708.097996402788,2911.9931929710406,1750.7427918107905,270.88851766498647,3565.9825075021754,2123.141488152486,593.7015246733948,1646.63238778318,1604.5993425176282,4768.908449878569,1115.1947559133707,2298.084670147016,3132.494896636163,922.1582162702076,1146.0766028618993,1855.4706376434506,1364.9819579515045,1560.3001864331443,3177.0136815792744,2941.6144440963894
11,OldIcelandic,5311.9481295271125,7317.472126283458,2419.1907484265275,5248.424979185127,3904.0306261800224,2891.867395027181,2359.6966225891542,2811.13616463925,3099.1618185695784,6429.793270962422,5316.250418192336,3439.931545302014,0.0,1639.642361154798,4018.0871948784825,4663.9862679043135,2570.4385857016932,8212.431576338558,4332.41189143889,2992.160073854666,6160.213420161711,3980.140046811483,4465.337029277245,3085.105410406049,3581.6585861629205,2101.9838805015333,6742.266933128768,6498.490739976587
12,MiddleIrish,3798.636151328113,6012.590404387299,782.6236730948438,3824.2158886878838,2565.097024176895,1549.116661148802,891.5831853375437,1237.3226803248056,1887.2487677040142,5032.9213344453865,3823.120653100716,1936.1683398715247,1639.642361154798,0.0,2473.239335882695,3546.61136748335,1853.5889723393007,6891.401403740661,3098.9556519889693,1543.331177410399,5101.684846202316,2369.1400623346417,2869.131918657635,1505.400640931497,2658.3607261482157,563.913086934328,5252.929044943975,4964.038309049937
13,OldLithuanian,1738.8734138805573,2696.250846732975,3081.7877828726923,1271.3094662074232,1125.7442614320855,2009.7048302604412,2674.98096956442,2548.226848460647,1660.8902810518919,2016.129310579722,1629.3742868153436,1916.8584287852013,4663.9862679043135,3546.61136748335,1835.9948516153586,0.0,2125.1885165836056,3585.0750029809105,540.4506024452361,3944.1387416202347,1555.1141674453108,2302.3282352393203,2145.024435000373,3498.621322318577,1125.7442614320855,3004.646666741535,2568.025553023338,2582.507581055674
14,OldLowGerman,3058.112165977661,5231.921448068536,496.9108755265922,3053.5805402866167,1783.2170692352659,776.0366968584487,110.57438855779878,555.2055116603307,1140.0555223079498,4260.319689202558,3073.3777030344936,1181.5217451347414,2271.748150770869,781.9823816291276,1748.4491609092122,2784.8179243831078,1366.392330243672,6112.578777533083,2322.940642729432,1636.4485808455447,4337.6082542695,1730.3447431155898,2199.542558566155,1375.029133747836,1976.7246430360415,221.15148133848913,4505.405832953913,4237.690372651589
15,OldNorwegian,3192.121237143751,4817.594005355653,1859.2938212918348,2959.2433354518002,1650.7529276402718,1061.6933572576256,1306.1253617070522,1627.4402399680466,898.4670807335491,4036.369324163062,3149.4689041436845,1681.7845349470272,2570.4385857016932,1853.5889723393007,2198.1491677034514,2125.1885165836056,0.0,5708.943375066558,1889.3001241005488,2998.1780801237146,3590.678635466178,2459.028940988572,2750.4517497500433,2695.721801833239,1014.942918675904,1503.9152364182937,4472.348831874914,4338.918230305499
16,MiddlePersian,3478.1013675400286,1154.9454947149063,6490.050985575038,3335.927730621202,4602.771571098936,5635.120620698356,6262.652313399285,5947.945877583323,5379.784357992707,2131.725786756833,3414.4925709804597,5227.186482640585,8472.331421383196,7148.284534750452,4759.1955287004985,3842.832454508392,5967.1960941057305,259.91430695445155,4140.042761319348,6902.047816536009,2549.0431028880053,5041.7051762474675,4555.2752169354935,6471.29187046879,4965.546357172555,6584.801636022755,2130.171617005264,2559.972667607285
17,OldPolish,1487.5151126965093,2985.3552237886524,2581.394705909152,1122.8827653902824,592.7069611099254,1549.8403306668035,2212.3662541716335,2038.2091525895942,1246.4866110937153,2147.7168184598313,1404.166032474061,1383.6783628206736,4332.41189143889,3098.9556519889693,1307.5431719948597,540.4506024452361,1889.3001241005488,3880.130716679009,0.0,3408.866927720481,2032.2483331235317,1774.2930810310515,1663.7759210649845,2961.4515102468454,1013.5772501623239,2544.092124067921,2600.0440722870803,2518.0465520947346
18,OldPortuguese,3430.9195200793574,5870.45296306728,1140.025316160474,3670.3912787280633,2818.466163218413,2154.820323741718,1692.1221859409675,1490.391307243807,2547.3968268094536,4803.725677236536,3506.7135478571217,2027.4549862817596,2992.160073854666,1543.331177410399,2255.6152277750016,3944.1387416202347,2998.1780801237146,6665.168043699058,3408.866927720481,0.0,5389.728576925761,1883.1707627966646,2348.9531463826834,455.9864411483357,3441.0306943968994,1542.5434055201488,4806.045824373199,4421.143483569097
19,OldProvencal,2548.635193553578,4930.682661840527,639.693058999523,2701.853748612292,1745.7507382233507,1164.5852788134657,948.5215574842044,524.1777879486117,1532.6874981396845,3884.657653632121,2601.514798084519,954.1661052967551,3058.3847813858356,1419.8704873493816,1261.9491201484186,2870.9712018563137,2151.5891450295208,5766.000644312967,2337.3405941796827,1074.160950683338,4334.675765660931,1006.6468383753286,1518.7495525763402,640.5561328754405,2414.4837678683243,1026.2068251757878,3989.781103839894,3653.8781564377
20,OldRussian,2389.560761570375,1541.6211779922637,4613.642101826619,1924.9671924049399,2616.134082910943,3561.690611664207,4227.467852869881,4069.2848075202364,3215.7761885075697,1570.2030115720072,2263.6593383824124,3393.444917917063,6160.213420161711,5101.684846202316,3157.2854802181,1555.1141674453108,3590.678635466178,2313.197575705531,2032.2483331235317,5389.728576925761,0.0,3591.1314038783767,3269.5387418195633,4934.8525515198935,2578.7864297346405,4557.944884202288,2218.629942896179,2501.1584315591917
21,OldSardinian,1563.9157658865931,3989.6941005821054,1596.5259323367343,1790.538048029973,1274.8224608558849,1418.7942937590112,1661.4235819695875,1176.466687693977,1594.2857917978408,2926.7098197003766,1630.2923794277633,778.0512125615932,3980.140046811483,2369.1400623346417,466.8345342993935,2302.3282352393203,2459.028940988572,4799.339200273843,1774.2930810310515,1883.1707627966646,3591.1314038783767,0.0,512.1869333604669,1437.5545893735384,2275.4001909719304,1879.8720913225022,2989.3224009819514,2647.3872210271006
