name,id,family,x,y,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.Role,ClausePosition,Alignment
Arvanitika.Albanian,ArvanitikaAlbanian,Albanian,23.3,38.2,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Identity,And different from with,No definite but indefinite article,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Related to remote demonstratives,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First twoth threeth,Marked by reduplication,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,No person marking,No question particle,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,Y,N,flexibleadjacent,SvAtrxP
Modern.Eastern.Armenian,ModernEasternArmenian,Armenian,44.0,40.0,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,Mixed,And different from with,Definite affix,Indefinite word distinct from one,Subject affixes on verb,Mixed indefinites,Related to remote demonstratives,Threeway contrast,Different inflection,Differentiated,No gender distinctions,No gender,,Negative affix,Plural suffix,First twoth threeth,Marked by suffix,Postpositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No person marking,No question particle,Dependent marking,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,N,N,N,N,flexibleadjacent,SvAtrxP
Modern.Breton,ModernBreton,Celtic,-3.0,48.0,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Identity,And different from with,Definite word distinct from demonstrative,Indefinite word distinct from one,Mixed,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Double negation,Plural suffix,First second threeth,Marked by reduplication,Prepositions,NounDemonstrative,OptDoubleNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,Pronouns only,Initial,No marking,Full reduplication only,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,flexibleadjacent,
Modern.Bulgarian,ModernBulgarian,Slavic,25.0,42.5,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,,,Identity,And different from with,Definite affix,No indefinite but definite article,Optional pronouns in subject position,Interrogativebased,Related to nonremote demonstratives,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by following word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,,SvAtrxP
Czech,Czech,Slavic,15.0,50.0,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,,,Differentiation,And different from with,No definite or indefinite article,No definite or indefinite article,Optional pronouns in subject position,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Three,Negative affix,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Initial,Dependent marking,No productive reduplication,No inflectional future,No past tense,Grammatical marking,Only the A argument,No dominant order,Y,Y,Y,N,,SvAtrxP
Danish,Danish,North Germanic,10.0,56.0,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by mixed or other strategies,Prepositions,DemonstrativeNoun,VNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,No question particle,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,No person marking,SVO,Y,Y,N,N,,SvAtrxP
Dutch,Dutch,West Germanic,6.0,52.5,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Two,Negative particle,Plural suffix,First twoth threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,VNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,,SvAtrxP
English,English,West Germanic,0.0,52.0,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Definite word distinct from demonstrative,Indefinite word distinct from one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic,Three,Negative particle,Plural suffix,First second threeth,Marked by following word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,No question particle,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,flexibleadjacent,SvAtrxP
French,French,Italic,2.0,48.0,Y,N,Y,N,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Related to nonremote demonstratives,Twoway contrast,Different stem,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First twoth threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,flexibleadjacent,SvAtrxP
Northern.Frisian,NorthernFrisian,West Germanic,9.0,54.5,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,No definite but indefinite article,Indefinite word same as one,Obligatory pronouns in subject position,Interrogativebased,Unrelated,No distance contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,VNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second person numberneutral,No person marking,No question particle,Head marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,flexibleadjacent,SvAtrxP
