name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Alamblak,Alamblak,Sepik Hill,143.3333333,-4.666666667,,,,N,Y,Y,N,N,Y,Y,N,Y,N,Y,,,Differentiation,And different from with,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,,Related by gender markers,Twoway contrast,Identical,Identical,3rd person singular only,Semantic,Two,Negative particle,Plural clitic,First twoth threeth,,Postpositions,DemonstrativeNoun,NegV,No dominant order,Relative clauseNoun,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,,,,,,,flexiblerelational,SvAtrvP
Amele,Amele,Croisilles,145.5833333,-5.25,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,Differentiation,And identical to with,Differentiation,No definite but indefinite article,Indefinite word distinct from one,,Genericnounbased,Unrelated,Threeway contrast,Identical,Identical,No gender distinctions,No gender,,Negative particle,Mixed morphological plural,Firstoneth twoth threeth,No distributive numerals,Postpositions,NounDemonstrative,OptDoubleNeg,XOV,NounRelative clause,Absent,Inflectional optative absent,Special imperative  special negative,No secondperson imperatives,No person marking,Final,More than five classes,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present 23 remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,,,,,,,fixedpremain,SvAtrvP
Amharic,Amharic,West Semitic,38.0,10.0,,,,N,Y,Y,N,,,Y,N,Y,N,N,N,Y,,And different from with,,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,,,,,Identical,In 3rd person  1st andor 2nd person,Semantic and formal,Two,Double negation,Plural suffix,,Marked by reduplication,No dominant order,DemonstrativeNoun,ObligDoubleNeg,,Relative clauseNoun,Present,,Special imperative  special negative,Second singular and second plural,Pronouns only,,No possessive classification,,Productive full and partial reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Both the A and P arguments,SOV,Y,Y,N,N,N,N,,SvAtrxP
Amur Nivkh,AmurNivkh,,142.0,53.33333333,Y,N,Y,N,Y,Y,Y,,,Y,N,Y,N,N,Y,N,Differentiation,,Differentiation,,,Optional pronouns in subject position,Interrogativebased,Related for nonhuman reference,Twoway contrast,Different inflection,,No gender distinctions,No gender,,Negative affix,Plural suffix,First two three,Marked by mixed or other strategies,Postpositions,DemonstrativeNoun,OptDoubleNeg,,Relative clauseNoun,Absent,Inflectional optative absent,,Second singular and second plural,Pronouns only,Final,,Head marking,Full reduplication only,Inflectional future exists,No past tense,No grammatical marking,No person marking,SOV,,,,,,,,SvAtrvP
Apurinã,Apurinã,Apurina-Piro-Iñapari,-67.0,-9.0,Y,N,Y,Y,N,Y,N,,,Y,N,N,Y,N,Y,N,,,Both expressed by juxtaposition,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,,Related by gender markers,Twoway contrast,Identical,Differentiated,3rd person singular only,Semantic and formal,Two,Negative particle,Plural suffix,,,Postpositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative absent,,Second plural,No adpositions,No question particle,No possessive classification,Head marking,No productive reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
Awa-Cuaiquer,AwaCuaiquer,,-78.25,1.5,,,,N,Y,Y,N,Y,N,Y,N,Y,N,Y,,,,,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for nonhuman reference,,,Differentiated,No gender distinctions,No gender,,Double negation,Plural suffix,,,Postpositions,DemonstrativeNoun,ObligDoubleNeg,XOV,,Absent,Inflectional optative absent,Special imperative  special negative,Second singular and second plural,No person marking,Final,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,A or P argument,SOV,,,,,,,,SvAtrxP
Bagirmi,Bagirmi,,16.0,11.66666667,Y,N,Y,N,Y,N,Y,,,N,Y,N,Y,N,N,Y,Differentiation,,Differentiation,Definite word distinct from demonstrative,No indefinite but definite article,,Genericnounbased,Unrelated,,,Identical,No gender distinctions,No gender,,Negative particle,Plural clitic,,,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,No secondperson imperatives,Pronouns only,Final,No possessive classification,No marking,Full reduplication only,No inflectional future,No past tense,Grammatical marking,Both the A and P arguments,SVO,,,,,,,,Mixed
Barasana-Eduria,BarasanaEduria,,-70.66666667,-0.166666667,,,,Y,N,Y,N,,,Y,N,Y,Y,Y,,,Identity,,,,,Subject affixes on verb,,Related to remote demonstratives,Threeway contrast,Identical,,3rd person singular only,Semantic,Three,Negative affix,Plural suffix,,,Postpositions,DemonstrativeNoun,VNeg,OXV,NounRelative clause,Absent,Inflectional optative absent,Normal imperative  normal negative,Second person numberneutral,No person marking,No question particle,Two classes,Head marking,No productive reduplication,No inflectional future,Present 23 remoteness distinctions,No grammatical marking,Only the A argument,No dominant order,,,,,,,,SvAtrxP
Basque,Basque,,-3.0,43.0,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,,,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Identical,Differentiated,No gender distinctions,No gender,,Negative particle,Plural clitic,First twoth threeth,Marked by suffix,Postpositions,NounDemonstrative,NegV,XOV,Relative clauseNoun,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Both the A and P arguments,SOV,,,,,,,,SvPxAtr
Bukiyip,Bukiyip,Kombio,143.1666667,-3.466666667,N,N,N,N,Y,Y,N,,,Y,Y,Y,N,,,,Differentiation,,,,Indefinite word distinct from one,Subject affixes on verb,,Related to nonremote demonstratives,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Five or more,Negative particle,Plural suffix,,,Prepositions,DemonstrativeNoun,OptDoubleNeg,,,Absent,Inflectional optative absent,Normal imperative  special negative,Second singular and second plural,No adpositions,Final,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,No past tense,No grammatical marking,Both the A and P arguments,SVO,,,,,,,,SvAtrvP
